order_id,product_id,quantity,price,total
ORD-000001,caf918e8-9227-4c43-a07c-5d2636c70c4a,3,170.21,510.63
ORD-000001,5365a6b3-f8c1-4cba-b21f-bda73e899461,3,178.94,536.8199999999999
ORD-000001,8a5a9ca5-73e4-4ebd-91df-9e78783ac1fd,1,30.98,30.98
ORD-000001,5f4b66a4-629f-416e-bdb6-36f673204882,3,391.1,1173.3000000000002
ORD-000002,4208330c-150b-463f-a7c7-0673090914e8,1,563.0,563.0
ORD-000003,9a612763-a18d-4647-9ea3-77af34124d8a,1,319.21,319.21
ORD-000003,74d41359-c624-44ba-8f3e-f9a3c9978f5a,2,592.89,1185.78
ORD-000004,8899b0dc-71a0-4fa0-a6b0-ac9f5ce7480c,3,19.81,59.42999999999999
ORD-000005,631da773-6e64-4717-9bd6-3ea10ab8a8a8,1,534.94,534.94
ORD-000005,ca25b56a-0fbb-4e75-90e5-e214ad3b390d,2,616.01,1232.02
ORD-000005,c9543a40-1b4c-4e7b-9ac1-572e5b495f5e,1,158.94,158.94
ORD-000005,faab82fa-51cf-4676-bff7-2f7bf7b28cf3,1,653.25,653.25
ORD-000005,2921a438-07b9-461e-95bf-ae0600aa711e,3,236.09,708.27
ORD-000006,e3bfcdbd-04e2-4a88-a250-358045a9c86a,1,767.56,767.56
ORD-000006,74d41359-c624-44ba-8f3e-f9a3c9978f5a,1,605.47,605.47
ORD-000007,55ecc7b8-3b15-452b-b56f-ed44d9daea49,1,797.19,797.19
ORD-000008,454b7ebc-fee8-4590-a620-8eb467fecb64,2,662.79,1325.58
ORD-000008,909c4825-1e5b-4389-b3fa-c87e6de42a78,2,564.41,1128.82
ORD-000008,3855fb85-8e60-4c4c-8d0c-d5e1d0b73a24,3,53.11,159.32999999999998
ORD-000008,532fb4b4-b30a-4ecd-a59f-88383b1b4111,1,777.86,777.86
ORD-000008,8a5a9ca5-73e4-4ebd-91df-9e78783ac1fd,2,31.22,62.44
ORD-000009,def4bb75-19e7-4d7c-8886-339395c44fc5,3,962.8,2888.3999999999996
ORD-000009,70d242a2-d6e6-49b2-82dd-dc10f9505de7,3,549.39,1648.17
ORD-000009,c5ff2331-db2f-4ecd-a938-d8b6c34e174d,3,845.25,2535.75
ORD-000009,5ba9f94f-7c5f-407d-ad88-c5c264376435,3,909.47,2728.41
ORD-000010,4375b157-2438-422b-aa81-33c6480a48b2,2,297.83,595.66
ORD-000010,b70acae6-2103-41b9-a113-f23f9b293a5d,3,394.11,1182.33
ORD-000011,a6abb6d5-04a1-44a8-ab10-f1f274300e03,2,918.2,1836.4
ORD-000011,2a9062a5-1a82-4732-863d-fa089ad07586,3,470.71,1412.1299999999999
ORD-000011,050d253d-22dc-473f-813b-6faf3727d9a4,3,321.88,965.64
ORD-000011,33b1781a-3a1b-419d-ab45-8633ffb25560,3,251.37,754.11
